stock,isin,sector,timeframe,mode,status,exit_reason,regime,fib_class,zoi_position,signal_date,signal_close,planned_entry,stop_loss,target,entry_date,entry_fill,exit_date,exit_fill,shares,capital_deployed,hold_trading_bars,hold_calendar_days,R_multiple,mfe_R,pnl_rupees
SONACOMS,INE073K01018,auto,1d,FIB,WIN,TARGET,BULL,IN_POCKET_UP,,2021-10-26,639.3,639.3,610.91,696.1,2021-10-27,639.62,2021-10-28,695.75,156,99781,2,1,1.95,6.21,8757
SONACOMS,INE073K01018,auto,1d,FIB,WIN,TARGET,BULL,IN_POCKET_UP,,2021-10-28,668.4,668.4,610.91,783.4,2021-10-29,664.33,2021-12-03,783.01,150,99650,24,35,2.22,3.09,17801
SONACOMS,INE073K01018,auto,1d,FIB,WIN,TARGET,BEAR,IN_POCKET_UP,,2022-03-10,602.35,602.35,578.9,649.25,2022-03-11,602.65,2022-03-16,648.93,165,99437,4,5,1.95,4.38,7635
SONACOMS,INE073K01018,auto,1d,FIB,LOSS,SL,NEUTRAL,IN_POCKET_UP,,2022-04-21,664.7,664.7,631.47,731.15,2022-04-22,657.03,2022-04-29,631.13,152,99868,6,7,-1.01,1.21,-3936
SONACOMS,INE073K01018,auto,1d,FIB,WIN,TARGET,BEAR,IN_POCKET_UP,,2022-05-31,557.4,557.4,536.55,599.1,2022-06-01,557.18,2022-06-08,598.8,179,99735,6,7,2.02,2.51,7450
SONACOMS,INE073K01018,auto,1d,FIB,LOSS,SL,BULL,IN_POCKET_UP,,2022-08-11,562.05,562.05,533.95,618.25,2022-08-12,562.33,2022-08-17,533.68,177,99533,3,5,-1.01,0.48,-5071
SONACOMS,INE073K01018,auto,1d,FIB,LOSS,SL,NEUTRAL,IN_POCKET_UP,,2022-10-14,459.9,459.9,436.91,505.9,2022-10-17,459.63,2022-11-21,436.68,217,99740,24,35,-1.01,1.65,-4980
SONACOMS,INE073K01018,auto,1d,FIB,WIN,TARGET,BULL,IN_POCKET_UP,,2023-06-20,515.8,515.8,490.01,567.4,2023-06-21,516.06,2023-07-21,567.12,193,99599,22,30,1.96,3.42,9854
SONACOMS,INE073K01018,auto,1d,FIB,LOSS,SL,BULL,IN_POCKET_UP,,2023-09-12,583.65,583.65,554.47,642,2023-09-13,583.94,2023-10-09,554.17,171,99854,17,26,-1.01,1.16,-5091
SONACOMS,INE073K01018,auto,1d,FIB,NO_FILL,,,,,2023-12-04,,,,,,,,,,,,,,,
SONACOMS,INE073K01018,auto,1d,FIB,LOSS,SL,BULL,IN_POCKET_UP,,2023-12-18,562.7,562.7,541.36,605.4,2023-12-19,562.98,2023-12-20,541.08,177,99648,2,1,-1.01,0.22,-3877
SONACOMS,INE073K01018,auto,1d,FIB,WIN,TARGET,BULL,IN_POCKET_UP,,2024-01-23,579.95,579.95,550.95,637.95,2024-01-24,580.24,2024-02-02,637.63,172,99801,7,9,1.96,4.73,9871
SONACOMS,INE073K01018,auto,1d,FIB,LOSS,SL,BULL,IN_POCKET_UP,,2024-03-27,681.45,681.45,647.38,749.6,2024-03-28,681.79,2024-04-08,647.08,146,99541,7,11,-1.01,0.94,-5068
SONACOMS,INE073K01018,auto,1d,FIB,WIN,TARGET,BEAR,IN_POCKET_UP,,2024-05-16,605.05,605.05,574.8,665.55,2024-05-17,605.35,2024-06-03,674.66,165,99883,12,17,2.27,2.31,11436
SONACOMS,INE073K01018,auto,1d,ZOI,WIN,TIME,BULL,,FAR_ABOVE_DEMAND,2021-08-10,489.35,489.35,400.23,667.6,2021-08-11,489.59,2021-09-23,574.56,204,99877,30,43,0.95,1.35,17333
SONACOMS,INE073K01018,auto,1d,ZOI,WIN,TARGET,BULL,,NEAR_ABOVE_DEMAND_UP,2021-09-23,574.85,574.85,519.17,686.2,2021-09-24,575.14,2021-10-07,685.86,173,99499,10,13,1.98,4.25,19154
SONACOMS,INE073K01018,auto,1d,ZOI,WIN,TIME,BULL,,FAR_ABOVE_DEMAND,2021-10-07,652.95,652.95,547.42,864,2021-10-08,653.28,2021-11-23,738.33,153,99951,30,46,0.8,1.51,13013
SONACOMS,INE073K01018,auto,1d,ZOI,LOSS,TIME,NEUTRAL,,FAR_ABOVE_DEMAND,2021-11-24,741.85,741.85,545.77,1134,2021-11-26,742.22,2022-01-06,731.93,134,99458,30,41,-0.05,0.5,-1378
SONACOMS,INE073K01018,auto,1d,ZOI,NO_FILL,,,,,2022-01-10,,,,,,,,,,,,,,,
SONACOMS,INE073K01018,auto,1d,ZOI,LOSS,TIME,NEUTRAL,,FAR_ABOVE_DEMAND,2022-01-11,756.1,756.1,548.01,1172.3,2022-01-12,756.48,2022-02-23,637.23,132,99855,30,42,-0.57,0.18,-15741
SONACOMS,INE073K01018,auto,1d,ZOI,WIN,TIME,BEAR,,NEAR_ABOVE_DEMAND_UP,2022-03-02,621.8,621.8,546.36,772.7,2022-03-03,622.11,2022-04-18,622.24,160,99538,30,46,0,1.12,20
SONACOMS,INE073K01018,auto,1d,ZOI,WIN,TARGET,BEAR,,INSIDE_DEMAND_UP,2022-05-30,549.35,549.35,519.53,609,2022-05-31,548.27,2022-06-10,608.7,182,99786,9,10,2.1,2.11,10997
SONACOMS,INE073K01018,auto,1d,ZOI,LOSS,TIME,BEAR,,NEAR_ABOVE_DEMAND_UP,2022-06-16,569.5,569.5,520.12,668.25,2022-06-17,569.28,2022-07-28,563.37,175,99625,30,41,-0.12,0.47,-1035
SONACOMS,INE073K01018,auto,1d,ZOI,LOSS,SL,BULL,,RECOVERY_ABOVE_DEMAND,2022-08-02,586.9,586.9,545.88,668.95,2022-08-03,587.19,2022-08-17,545.63,170,99823,9,14,-1.01,0.48,-7066
SONACOMS,INE073K01018,auto,1d,ZOI,LOSS,SL,BULL,,NEAR_ABOVE_DEMAND_UP,2022-08-23,532.7,532.7,487.98,622.15,2022-08-24,532.97,2022-09-21,487.76,187,99665,20,28,-1.01,0.34,-8454
SONACOMS,INE073K01018,auto,1d,ZOI,LOSS,SL,NEUTRAL,,INSIDE_DEMAND_UP,2022-10-06,474.15,474.15,436.3,549.85,2022-10-07,473.74,2022-11-21,436.08,211,99958,30,45,-1.01,0.62,-7945
SONACOMS,INE073K01018,auto,1d,ZOI,LOSS,SL,BULL,,NEAR_ABOVE_DEMAND_UP,2022-11-25,442.55,442.55,404.78,518.1,2022-11-28,442.02,2022-12-23,404.6,226,99897,20,25,-1,1.12,-8458
SONACOMS,INE073K01018,auto,1d,ZOI,WIN,TARGET,BEAR,,NEAR_ABOVE_DEMAND_UP,2023-03-15,423.05,423.05,398.86,471.45,2023-03-16,423.26,2023-04-20,471.21,236,99890,22,35,1.96,3.09,11317
SONACOMS,INE073K01018,auto,1d,ZOI,NO_FILL,,,,,2023-04-28,,,,,,,,,,,,,,,
SONACOMS,INE073K01018,auto,1d,ZOI,WIN,TARGET,BULL,,NEAR_ABOVE_DEMAND_UP,2023-05-02,487.15,487.15,453.6,554.25,2023-05-03,486.14,2023-05-12,569.72,205,99659,8,9,2.57,2.7,17132
SONACOMS,INE073K01018,auto,1d,ZOI,LOSS,SL,BULL,,RECOVERY_ABOVE_DEMAND,2023-05-12,534,534,511.71,578.6,2023-05-15,534.27,2023-05-31,511.44,187,99908,13,16,-1.01,1.74,-4268
SONACOMS,INE073K01018,auto,1d,ZOI,LOSS,SL,BULL,,RECOVERY_ABOVE_DEMAND,2023-08-23,586.8,586.8,560.53,639.35,2023-08-25,587.09,2023-10-09,560.27,170,99806,30,45,-1.01,1.16,-4560
SONACOMS,INE073K01018,auto,1d,ZOI,WIN,TIME,BEAR,,NEAR_ABOVE_DEMAND_UP,2023-10-27,551.2,551.2,483.57,686.45,2023-10-30,551.48,2023-12-11,569.72,181,99817,30,42,0.27,0.77,3301
SONACOMS,INE073K01018,auto,1d,ZOI,LOSS,SL,BULL,,INSIDE_DEMAND_UP,2023-12-18,562.7,562.7,547.99,592.1,2023-12-19,562.98,2023-12-20,547.73,177,99648,2,1,-1.02,0.32,-2700
SONACOMS,INE073K01018,auto,1d,ZOI,WIN,TARGET,BULL,,NEAR_ABOVE_DEMAND_UP,2024-01-20,587.05,587.05,567.31,626.55,2024-01-23,587.34,2024-02-01,626.24,170,99848,7,9,1.94,6.56,6612
