stock,isin,sector,mode,status,exit_reason,regime,confidence,setup,signal_date,signal_close,planned_entry,entry_limit,stop_loss,target,planned_rr,entry_date,entry_fill,exit_date,exit_fill,shares,capital_deployed,hold_trading_bars,hold_calendar_days,R_multiple,mfe_R,pnl_rupees
SONACOMS,INE073K01018,auto,DEEP,LOSS,TIME,BULL,MEDIUM,Support,2023-08-07,556.55,556.55,562.12,523.16,606.64,1.5,2023-08-08,558.08,2023-08-16,554.22,179,99896,6,8,-0.11,0.13,-690
SONACOMS,INE073K01018,auto,DEEP,WIN,TIME,BULL,MEDIUM,Support×2,2023-09-22,580.05,580.05,585.85,545.25,632.25,1.5,2023-09-25,582.94,2023-09-29,583.11,171,99683,5,4,0,0.34,29
SONACOMS,INE073K01018,auto,DEEP,WIN,TARGET,BULL,MEDIUM,Support,2024-01-25,585.4,585.4,591.25,550.28,638.09,1.5,2024-01-29,590.29,2024-02-02,637.78,169,99760,5,4,1.19,1.4,8025
SONACOMS,INE073K01018,auto,DEEP,WIN,TIME,BULL,MEDIUM,Support,2024-02-08,607.55,607.55,613.63,571.1,662.23,1.5,2024-02-09,607.3,2024-02-16,613.59,164,99598,6,7,0.17,0.57,1031
SONACOMS,INE073K01018,auto,DEEP,WIN,TIME,BULL,MEDIUM,Support,2024-03-13,642.5,642.5,648.92,603.95,700.33,1.5,2024-03-14,629.61,2024-03-20,637.53,158,99479,5,6,0.31,1.54,1251
SONACOMS,INE073K01018,auto,DEEP,LOSS,TIME,NEUTRAL,MEDIUM,Pullback,2024-04-18,677.5,677.5,684.28,636.85,738.48,1.5,2024-04-19,670.28,2024-04-25,667.07,149,99872,5,6,-0.1,0.52,-480
SONACOMS,INE073K01018,auto,DEEP,WIN,TARGET,BULL,MEDIUM,Support + Pullback,2024-07-04,666.9,666.9,673.57,626.89,726.92,1.5,2024-07-05,667.23,2024-07-11,726.54,149,99418,5,6,1.47,1.91,8836
SONACOMS,INE073K01018,auto,DEEP,LOSS,TIME,BULL,MEDIUM,Pullback,2024-07-25,697.9,697.9,704.88,656.03,760.71,1.5,2024-07-26,705.2,2024-08-01,672.21,141,99434,5,6,-0.67,0.21,-4651
SONACOMS,INE073K01018,auto,DEEP,WIN,TIME,BULL,MEDIUM,Pullback,2024-09-13,724.25,724.25,731.49,680.8,789.43,1.5,2024-09-16,730.37,2024-09-20,747.98,136,99330,5,4,0.36,0.59,2395
SONACOMS,INE073K01018,auto,DEEP,LOSS,SL,BULL,MEDIUM,Pullback,2024-09-30,743.4,743.4,750.83,698.8,810.31,1.5,2024-10-01,742.37,2024-10-04,698.45,134,99478,3,3,-1.01,0.08,-5885
SONACOMS,INE073K01018,auto,DEEP,LOSS,TIME,NEUTRAL,MEDIUM,Support,2024-10-07,675.45,675.45,682.2,634.92,736.24,1.5,2024-10-08,668.93,2024-10-14,659.77,149,99671,5,6,-0.27,0.74,-1365
ARE&M,INE885A01032,auto,DEEP,LOSS,TIME,BULL,MEDIUM,Support×2,2019-12-16,723.05,723.05,730.28,679.67,788.12,1.5,2019-12-17,727.01,2019-12-24,721.44,137,99601,6,7,-0.12,0.59,-764
ARE&M,INE885A01032,auto,DEEP,WIN,TIME,NEUTRAL,MEDIUM,Support,2020-01-31,767.1,767.1,774.77,723.07,833.14,1.5,2020-02-01,772.24,2020-02-10,776.31,129,99618,7,9,0.08,0.52,526
