#,FIB_CODE,FIB_DETAIL,ZOI_CODE,OVERLAP,PLAIN_ENGLISH,RECOMMENDATION
1,IN_POCKET_RISING,,IN_DEMAND_RISING,OVERLAP,"in pocket, rising + in demand, rising (same price)",BUY
2,IN_POCKET_RISING,,IN_DEMAND_FALLING,OVERLAP,"in pocket, rising + in demand, falling (same price)",CAUTION
3,IN_POCKET_RISING,,NEAR_ABOVE_DEMAND_RISING,OVERLAP,"in pocket, rising + just above demand, rising (same price)",BUY
4,IN_POCKET_RISING,,NEAR_ABOVE_DEMAND_RISING,POCKET_ABOVE,"in pocket, rising + just above demand, rising (pocket above zone)",BUY
5,IN_POCKET_RISING,,NEAR_ABOVE_DEMAND_FALLING,OVERLAP,"in pocket, rising + just above demand, falling (same price)",CAUTION
6,IN_POCKET_RISING,,NEAR_ABOVE_DEMAND_FALLING,POCKET_ABOVE,"in pocket, rising + just above demand, falling (pocket above zone)",CAUTION
7,IN_POCKET_RISING,,FAR_ABOVE_DEMAND,POCKET_ABOVE,"in pocket, rising + far above demand (pocket above zone)",CAUTION
8,IN_POCKET_RISING,,RECOVERED_INTO_DEMAND_RISING,OVERLAP,"in pocket, rising + recovered into demand (same price)",BUY
9,IN_POCKET_RISING,,RECOVERED_ABOVE_DEMAND_RISING,OVERLAP,"in pocket, rising + recovered above demand (same price)",BUY
10,IN_POCKET_RISING,,RECOVERED_ABOVE_DEMAND_RISING,POCKET_ABOVE,"in pocket, rising + recovered above demand (pocket above zone)",BUY
11,IN_POCKET_RISING,,BROKE_BELOW_DEMAND,OVERLAP,"in pocket, rising + broke below demand (same price)",CAUTION
12,IN_POCKET_RISING,,BROKE_BELOW_DEMAND,POCKET_BELOW,"in pocket, rising + broke below demand (pocket below zone)",CAUTION
13,IN_POCKET_RISING,,STACKED_DEMAND_RISING,OVERLAP,"in pocket, rising + stacked demand, rising (same price)",BUY
14,IN_POCKET_RISING,,IN_SUPPLY,OVERLAP,"in pocket, rising + in supply (same price)",AVOID
15,IN_POCKET_RISING,,NEAR_BELOW_SUPPLY,OVERLAP,"in pocket, rising + just below supply (same price)",AVOID
16,IN_POCKET_RISING,,NEAR_BELOW_SUPPLY,POCKET_BELOW,"in pocket, rising + just below supply (pocket below zone)",CAUTION
17,IN_POCKET_RISING,,FAR_BELOW_SUPPLY,POCKET_BELOW,"in pocket, rising + supply far overhead (pocket below zone)",BUY
18,IN_POCKET_RISING,,BROKE_ABOVE_SUPPLY_RISING,OVERLAP,"in pocket, rising + broke above supply, rising (same price)",BUY
19,IN_POCKET_RISING,,BROKE_ABOVE_SUPPLY_RISING,POCKET_ABOVE,"in pocket, rising + broke above supply, rising (pocket above zone)",BUY
20,IN_POCKET_RISING,,BROKE_ABOVE_SUPPLY_FALLING,OVERLAP,"in pocket, rising + broke above supply, falling (same price)",AVOID
21,IN_POCKET_RISING,,BROKE_ABOVE_SUPPLY_FALLING,POCKET_ABOVE,"in pocket, rising + broke above supply, falling (pocket above zone)",CAUTION
22,IN_POCKET_RISING,,FAR_ABOVE_SUPPLY,POCKET_ABOVE,"in pocket, rising + far above broken supply (pocket above zone)",CAUTION
23,IN_POCKET_RISING,,BETWEEN_ZONES,NO_ZONE,"in pocket, rising + no zone nearby (no zone)",BUY
24,IN_POCKET_RISING,recovered from swing low,IN_DEMAND_RISING,OVERLAP,"recovered from swing low into pocket, rising + in demand, rising (same price)",BUY
25,IN_POCKET_RISING,recovered from swing low,IN_DEMAND_FALLING,OVERLAP,"recovered from swing low into pocket, rising + in demand, falling (same price)",CAUTION
26,IN_POCKET_RISING,recovered from swing low,NEAR_ABOVE_DEMAND_RISING,OVERLAP,"recovered from swing low into pocket, rising + just above demand, rising (same price)",BUY
27,IN_POCKET_RISING,recovered from swing low,NEAR_ABOVE_DEMAND_RISING,POCKET_ABOVE,"recovered from swing low into pocket, rising + just above demand, rising (pocket above zone)",BUY
28,IN_POCKET_RISING,recovered from swing low,NEAR_ABOVE_DEMAND_FALLING,OVERLAP,"recovered from swing low into pocket, rising + just above demand, falling (same price)",CAUTION
29,IN_POCKET_RISING,recovered from swing low,NEAR_ABOVE_DEMAND_FALLING,POCKET_ABOVE,"recovered from swing low into pocket, rising + just above demand, falling (pocket above zone)",CAUTION
30,IN_POCKET_RISING,recovered from swing low,FAR_ABOVE_DEMAND,POCKET_ABOVE,"recovered from swing low into pocket, rising + far above demand (pocket above zone)",CAUTION
31,IN_POCKET_RISING,recovered from swing low,RECOVERED_INTO_DEMAND_RISING,OVERLAP,"recovered from swing low into pocket, rising + recovered into demand (same price)",BUY
32,IN_POCKET_RISING,recovered from swing low,RECOVERED_ABOVE_DEMAND_RISING,OVERLAP,"recovered from swing low into pocket, rising + recovered above demand (same price)",BUY
